time,lat,lon,temperature,salinity,current_speed,catch_species,catch_weight,species_id,biodiversity_index
2020-01-01,-10.036790492211,84.20316461542878,7.58,31.35,1.41,Sardine,76.0,SP001,2.94
2020-01-16,36.057144512793286,28.413996499504883,27.56,32.23,0.31,Anchovy,486.1,SP001,6.93
2020-01-31,18.559515344912406,36.162871409461374,17.63,31.42,1.15,Mackerel,447.7,SP001,4.54
2020-02-15,7.892678735762928,109.85541885270793,25.66,30.71,1.21,Anchovy,467.5,SP002,6.86
2020-03-01,-27.51850876460508,80.64290596595899,13.0,30.97,0.85,Anchovy,497.7,SP004,1.96
2020-03-16,-27.520438373103786,20.919705161662964,27.39,33.69,1.47,Sardine,128.3,SP002,6.92
2020-03-31,-35.35331102654404,30.14715428660321,14.73,31.65,1.87,Anchovy,228.3,SP004,9.99
2020-04-15,29.294091661994813,86.35017691080559,5.27,32.91,1.85,Sardine,391.2,SP004,1.43
2020-04-30,8.089200939456703,20.50615838462187,27.63,34.03,0.9,Tuna,363.2,SP003,9.79
2020-05-15,16.645806223683635,36.08080514174986,7.28,35.52,0.23,Tuna,119.3,SP003,4.66
2020-05-30,-38.353240456335804,74.87337893665861,12.98,30.31,1.97,Sardine,417.1,SP004,8.84
2020-06-14,37.592788172959544,89.18951976926932,28.75,36.4,1.68,Tuna,151.0,SP004,8.04
2020-06-29,26.595411264033743,85.19612595026005,28.77,35.02,0.25,Mackerel,150.7,SP002,6.1
2020-07-14,-23.012871145737908,42.426930946055975,19.34,30.65,1.84,Anchovy,291.6,SP002,7.65
2020-07-29,-25.45400262343195,91.2179221347536,20.8,36.99,1.74,Mackerel,316.8,SP003,8.91
2020-08-13,-25.327639211725295,43.72490874968001,16.21,37.37,1.04,Anchovy,311.0,SP001,4.64
2020-08-28,-15.660620563236982,52.539969815926774,12.33,30.49,1.18,Tuna,91.2,SP004,3.94
2020-09-12,1.980514530579029,94.64914051180241,13.22,32.22,0.8,Mackerel,444.9,SP002,7.01
2020-09-27,-5.444398508630741,84.96328990472146,21.81,36.45,0.11,Tuna,169.5,SP003,8.27
2020-10-12,-16.701668784156645,104.9223410494178,23.81,35.99,0.67,Anchovy,108.3,SP002,7.86
2020-10-27,8.94823157779036,85.76128923003434,24.79,31.48,1.61,Sardine,449.9,SP004,8.18
2020-11-11,-28.84049114783665,76.83086033354716,24.74,31.67,0.01,Sardine,480.0,SP004,4.92
2020-11-26,-16.628428117182548,29.36747678280925,7.28,32.96,0.67,Mackerel,438.0,SP005,8.36
2020-12-11,-10.691052536504664,56.77158030594335,17.36,33.88,0.8,Tuna,414.3,SP001,2.08
2020-12-26,-3.514401262637122,46.520236768172545,6.44,34.95,1.07,Tuna,344.9,SP005,5.9
2021-01-10,22.81407691144109,44.39896433790835,18.74,32.95,1.84,Mackerel,297.9,SP003,1.05
2021-01-25,-24.026097427331223,117.30105547524455,16.04,33.7,0.69,Sardine,89.1,SP002,3.92
2021-02-09,1.1387550730889302,59.30977246667604,27.19,35.98,0.69,Anchovy,233.8,SP003,4.3
2021-02-24,7.393165508963399,109.20465551771133,13.77,30.29,1.48,Mackerel,217.7,SP004,4.57
2021-03-11,-36.28396698240018,83.11386259972629,7.93,32.02,0.9,Anchovy,166.9,SP005,7.26
2021-03-26,8.603588152115066,99.48113035416485,8.57,35.71,0.45,Sardine,375.5,SP005,4.5
2021-04-10,-26.35807010501668,70.2637093105192,24.04,37.16,0.9,Tuna,273.1,SP005,5.04
2021-04-25,-34.79587256117764,77.69038846263591,20.46,34.09,0.28,Sardine,86.5,SP003,3.14
2021-05-10,35.910842980266665,69.25176938188639,7.53,34.26,0.35,Mackerel,149.1,SP004,4.36
2021-05-25,37.25056264596475,39.524298779804454,7.1,30.86,1.0,Tuna,357.5,SP002,3.05
2021-06-09,24.671787849316885,92.24521152615053,22.52,33.58,0.84,Mackerel,84.3,SP002,1.66
2021-06-24,-15.630898466130347,48.07723624408558,6.82,34.26,1.83,Mackerel,433.0,SP003,6.43
2021-07-09,-32.18623087948929,22.431596643145383,25.55,31.94,0.72,Sardine,272.8,SP005,7.01
2021-07-24,14.73864212097255,84.54722959071678,22.66,32.15,1.16,Mackerel,266.3,SP001,6.58
2021-08-08,-4.787800500831892,37.71106794070489,7.03,33.02,1.26,Sardine,316.6,SP003,5.17
2021-08-23,-30.236941212417694,114.04585843529144,7.12,30.16,0.03,Tuna,421.1,SP003,4.42
2021-09-07,-0.38584719109838517,115.39285770025873,29.67,32.58,1.33,Sardine,206.5,SP004,8.77
2021-09-22,-37.24891831078253,111.48643902204485,14.36,31.69,0.36,Tuna,355.1,SP002,5.67
2021-10-07,32.74563216630257,57.01587002554444,14.27,32.62,1.92,Sardine,304.6,SP003,5.31
2021-10-22,-19.297601471998647,21.545661652886743,25.32,30.96,0.3,Anchovy,170.2,SP003,1.23
2021-11-06,13.001782748318561,112.83185625877253,28.68,37.12,0.83,Anchovy,445.4,SP005,4.07
2021-11-21,-15.063113912847122,62.81841483173143,29.65,34.75,0.17,Mackerel,408.8,SP005,4.42
2021-12-06,1.605441694224865,116.66548190436696,23.83,35.43,1.99,Sardine,346.3,SP001,4.59
2021-12-21,3.736822347462372,116.36199770892529,14.41,36.31,1.0,Sardine,432.8,SP004,6.22
2022-01-05,-25.211643557957835,105.300945546736,7.09,33.99,1.19,Tuna,440.3,SP001,5.8
2022-01-20,37.56677022116469,49.444889206958564,24.43,30.7,0.13,Mackerel,368.8,SP005,6.47
2022-02-04,22.010625868889164,58.50977286019253,18.96,34.3,1.5,Sardine,426.7,SP002,7.88
2022-02-19,35.15991532513513,105.11366715168569,15.61,34.69,0.42,Mackerel,363.9,SP005,8.32
2022-03-06,31.5861880342119,51.69220051562777,27.66,35.96,1.8,Anchovy,356.1,SP004,7.46
2022-03-21,7.83199830488681,36.94927466860925,7.78,33.45,0.41,Sardine,328.4,SP005,9.6
2022-04-05,33.74993880184934,75.68012624583501,17.32,31.02,0.38,Sardine,388.7,SP004,1.16
2022-04-20,-32.92059983584644,113.6154774160781,5.28,32.27,0.07,Mackerel,121.4,SP004,2.76
2022-05-05,-24.321371006468382,89.6029796674973,16.72,32.9,0.94,Sardine,446.4,SP004,1.07
2022-05-20,-36.38181688715696,77.0061170089365,6.41,35.17,1.13,Mackerel,442.3,SP004,6.83
2022-06-04,-13.973573538938851,29.717649377076853,7.97,34.57,0.13,Sardine,63.2,SP004,9.08
2022-06-19,-8.905816824841438,81.50072266991697,7.94,32.85,1.55,Tuna,421.6,SP002,3.19
2022-07-04,-18.29207745808833,119.00538501042632,21.23,37.89,0.91,Mackerel,108.0,SP001,9.34
2022-07-19,26.299000732154354,34.0084015236524,23.65,34.85,1.05,Sardine,200.8,SP003,1.54
2022-08-03,-11.459733864512856,71.83296523637367,19.58,31.9,0.88,Anchovy,384.6,SP001,9.41
2022-08-18,-17.52523922500954,107.73730719279554,29.05,30.81,0.8,Sardine,122.3,SP004,4.16
2022-09-02,3.415686652659879,94.07686177542044,14.37,31.22,1.12,Anchovy,418.1,SP002,1.91
2022-09-17,-28.72606200201899,89.7015740995268,12.14,31.97,0.31,Anchovy,424.5,SP005,5.37
2022-10-02,24.17575846032318,90.24840839871092,26.71,31.29,0.36,Tuna,278.4,SP002,3.31
2022-10-17,-34.035948505618336,55.94911512197552,10.59,31.49,1.72,Mackerel,52.9,SP004,3.56
2022-11-01,38.950954928041384,49.35918442644933,29.08,32.28,1.89,Sardine,179.2,SP002,3.77
2022-11-16,21.77958154373259,100.93611554785136,5.3,31.39,0.75,Tuna,327.6,SP002,8.23
2022-12-01,-24.102745477266208,101.01133946791808,29.25,37.17,0.54,Sardine,491.5,SP004,5.85
2022-12-16,-39.55823063011181,106.70723185801037,6.08,30.64,1.29,Anchovy,334.3,SP002,3.8
2022-12-31,25.236914276386727,111.32405525564712,27.28,34.2,0.82,Mackerel,166.9,SP003,6.49
2023-01-15,16.548587507809373,71.13423988609378,18.19,33.28,0.05,Sardine,335.3,SP003,7.45
2023-01-30,18.320573443278988,70.15162946871996,29.82,37.86,0.31,Sardine,293.0,SP002,3.45
2023-02-14,21.701627734875657,99.82951789667752,6.84,30.9,1.43,Anchovy,400.9,SP005,4.72
2023-03-01,-34.07642786127277,84.99639307777652,18.85,33.18,1.32,Sardine,98.1,SP004,2.1
2023-03-16,-11.32274171645819,90.19668772577033,29.23,37.76,0.05,Sardine,392.5,SP003,2.63
2023-03-31,-30.730475237989623,99.57926694361011,18.08,36.92,0.44,Anchovy,293.6,SP005,7.13
2023-04-15,29.048274070047484,109.00053418175663,20.73,36.54,0.46,Tuna,483.3,SP002,2.63
2023-04-30,9.863850146204634,53.79951568515358,22.39,32.06,1.34,Anchovy,203.8,SP005,5.73
2023-05-15,-13.528158011788065,57.5582952639944,16.36,31.37,0.04,Tuna,334.7,SP001,7.38
2023-05-30,-34.91533197711811,29.3981939840869,20.69,35.35,0.21,Mackerel,469.4,SP003,1.96
2023-06-14,-15.121414262747024,77.8280140996174,19.61,37.44,1.6,Tuna,96.1,SP002,6.11
2023-06-29,-13.985334237860236,23.59422737967421,27.53,34.45,0.36,Tuna,471.8,SP004,3.31
2023-07-14,18.368494267045122,66.55980181324603,6.14,34.57,1.31,Mackerel,359.5,SP002,9.67
2023-07-29,11.004597708417052,74.26446347075766,12.02,32.24,0.48,Tuna,80.5,SP004,5.35
2023-08-13,30.977019406106123,48.65412521282844,28.76,36.16,0.2,Anchovy,185.4,SP002,8.25
2023-08-28,-2.2228059870440546,79.08332605690107,27.26,31.5,0.49,Tuna,368.7,SP005,5.95
2023-09-12,-30.432460324935864,23.05002499390494,16.39,32.59,1.44,Mackerel,80.3,SP005,1.39
2023-09-27,17.059582977839597,23.73481887492144,20.5,33.4,1.71,Anchovy,312.0,SP005,6.7
2023-10-12,20.862803889351795,102.26005606596583,11.93,34.06,1.66,Mackerel,205.6,SP001,9.56
2023-10-27,4.9021758055597004,56.019064141126286,9.7,31.94,0.79,Mackerel,329.4,SP004,6.41
2023-11-11,21.677374396364883,32.70605126518848,16.59,30.92,1.34,Sardine,70.6,SP005,8.37
2023-11-26,-0.49635229084874055,72.22432600548044,13.83,34.88,0.41,Sardine,442.2,SP001,8.96
2023-12-11,1.8186263505595264,96.99935530986109,19.59,32.31,0.59,Mackerel,488.1,SP004,3.05
2023-12-26,-5.796718531316031,41.58210274968432,6.94,34.65,1.79,Mackerel,486.0,SP002,2.91
2024-01-10,-37.96646986047239,82.28904758190004,29.36,31.23,0.03,Mackerel,387.3,SP001,6.5
2024-01-25,-31.368685840535644,28.5347464993768,29.66,33.85,0.17,Sardine,108.5,SP003,4.7
2024-02-09,-37.48566514506126,25.16817211686077,22.45,34.26,0.42,Sardine,391.2,SP001,8.56
2024-02-24,10.912832901102433,73.13546315681481,18.4,30.41,0.05,Tuna,61.1,SP001,9.1
2024-03-10,-14.851521513893864,74.06351216101065,12.74,32.69,0.36,Tuna,60.0,SP004,4.18
2024-03-25,0.6856552931762252,83.74299014982066,25.34,31.08,1.17,Mackerel,195.6,SP002,3.13
2024-04-09,32.605317914087436,92.60913337226616,22.12,30.51,0.84,Anchovy,269.9,SP003,8.02
2024-04-24,-20.056621668090003,117.58520794625346,9.07,37.92,1.79,Anchovy,396.7,SP005,3.47
2024-05-09,-7.169366157149625,71.63003483011954,27.77,32.58,1.63,Sardine,357.5,SP005,8.4
2024-05-24,20.444091083443894,52.2956472941246,25.56,36.48,0.68,Sardine,250.7,SP001,4.81
2024-06-08,-21.696146760670203,99.51861947687037,28.74,32.04,0.52,Sardine,173.1,SP004,7.01
2024-06-23,-33.84160721369656,47.083225126207424,23.14,35.45,0.76,Mackerel,498.7,SP004,1.86
2024-07-08,-16.819883766898556,63.89714207056361,20.34,36.08,1.18,Anchovy,241.8,SP005,6.61
2024-07-23,-27.102297019679646,27.845638134226597,15.46,34.77,0.54,Tuna,253.1,SP003,5.07
2024-08-07,34.37581218740584,22.53507434154575,28.32,33.77,1.25,Mackerel,123.6,SP002,6.28
2024-08-22,24.649630365153357,116.26484146779251,26.65,33.29,0.82,Tuna,407.7,SP003,2.51
2024-09-06,10.672300520833879,103.59801205122058,6.13,32.79,1.1,Tuna,362.2,SP002,7.63
2024-09-21,29.716847215017424,89.59742060936979,5.66,37.44,0.87,Mackerel,149.3,SP005,8.77
2024-10-06,24.293766151929162,60.89529444142699,14.41,36.64,0.59,Tuna,87.1,SP002,2.95
2024-10-21,-25.074395289117135,37.32943200708458,25.26,37.72,1.9,Anchovy,356.2,SP004,1.86
2024-11-05,31.404719879198225,35.6437042671086,29.68,30.99,1.53,Tuna,344.5,SP001,1.21
2024-11-20,3.147379353252056,45.02428981645953,8.76,35.85,0.28,Anchovy,173.0,SP001,6.78
2024-12-05,24.595212413124997,74.92266647061206,19.85,37.51,1.74,Anchovy,477.9,SP005,6.46
2024-12-20,31.687303993879453,91.45959227000624,14.52,31.45,0.97,Anchovy,118.0,SP004,5.92
2025-01-04,-14.55972200225089,86.01973767177313,29.25,30.53,1.79,Sardine,244.6,SP003,3.09
2025-01-19,-31.19584603778586,47.993389694594285,26.05,35.93,1.6,Tuna,474.6,SP004,4.52
2025-02-03,-21.765186996644665,115.48652806631941,25.96,34.6,0.85,Mackerel,238.9,SP001,6.35
2025-02-18,-5.831376909899497,93.78969166957685,16.72,36.73,0.04,Mackerel,337.3,SP001,5.47
2025-03-05,25.441181273799444,75.43540525114007,15.37,31.12,0.54,Tuna,228.9,SP004,9.89
2025-03-20,28.858446660507468,81.17207462343522,11.84,36.36,1.08,Sardine,173.4,SP004,2.23
2025-04-04,-39.44382955750474,61.96000624277899,6.41,31.61,1.27,Sardine,492.8,SP001,7.26
2025-04-19,0.8597842062052621,44.773098950115745,26.62,31.31,0.52,Anchovy,234.2,SP003,4.64
2025-05-04,-6.607119748097681,55.597267865126156,25.32,31.31,0.28,Tuna,452.3,SP005,4.85
2025-05-19,-22.23137516234158,95.78461104643691,29.99,36.52,1.67,Tuna,153.5,SP005,7.46
2025-06-03,-30.410770613305374,21.439348862975585,29.92,35.32,1.97,Mackerel,145.9,SP004,7.23
2025-06-18,-12.990786287709764,31.607264050691626,18.89,34.18,1.05,Tuna,64.0,SP005,9.92
2025-07-03,35.43277631300154,24.600264202175275,24.22,32.87,0.34,Sardine,343.3,SP001,2.16
2025-07-18,-14.143765438339582,24.072880231897013,28.62,37.02,0.54,Tuna,215.8,SP001,1.94
2025-08-02,1.5032497394692896,105.54605840110072,26.24,33.14,0.04,Mackerel,439.0,SP004,7.52
2025-08-17,16.241516711614224,90.36578593800236,11.18,36.53,1.83,Anchovy,262.9,SP004,6.21
2025-09-01,-10.909631809656481,67.41738290873252,16.26,33.51,0.24,Mackerel,485.7,SP004,3.47
2025-09-16,37.74256661767686,29.78341606510015,8.23,33.02,1.15,Mackerel,133.5,SP003,1.71
2025-10-01,36.99578359536889,69.16158751168324,28.85,33.7,0.55,Anchovy,440.9,SP005,1.77
2025-10-16,-19.857416333970868,67.34717707805657,20.15,32.41,1.11,Mackerel,399.5,SP004,9.05
2025-10-31,-0.2201195286091604,37.32018699100152,10.72,35.98,1.3,Mackerel,396.9,SP002,2.73
2025-11-15,-15.929735214658429,63.385164923797305,21.79,34.02,1.66,Tuna,430.2,SP002,3.91
2025-11-30,-17.21276044980259,59.85047343973734,20.45,31.86,0.41,Tuna,392.5,SP001,3.04
2025-12-15,-37.04904421163738,81.58500980522165,13.95,37.2,0.02,Anchovy,331.8,SP005,4.19
2025-12-30,8.765146718391748,83.50936508676438,7.84,33.07,0.27,Tuna,109.1,SP004,1.62
2026-01-14,0.2143218583089208,24.53040097720445,21.79,34.35,1.8,Tuna,64.6,SP002,5.67
2026-01-29,-35.881699900000854,57.46126146264712,18.01,37.25,1.75,Mackerel,464.4,SP005,1.61
2026-02-13,-17.708282861071083,82.58599157142365,24.31,34.99,1.19,Sardine,327.5,SP001,8.2
2026-02-28,32.6612708773323,70.31362585800878,18.0,30.94,1.2,Tuna,408.4,SP003,3.1
2026-03-15,-20.835048746642208,105.64898411883223,26.3,37.52,1.33,Sardine,266.7,SP005,5.86
2026-03-30,-28.408410232702153,85.8693631618945,18.8,35.02,0.35,Tuna,102.8,SP005,8.92
2026-04-14,-0.843779177794957,36.29344270814297,19.02,32.68,1.83,Tuna,106.3,SP003,6.86
2026-04-29,38.85203632884806,27.056874740042986,26.92,31.11,0.84,Anchovy,358.5,SP005,5.8
2026-05-14,-20.635578279079965,84.24192782063156,15.09,36.35,0.77,Anchovy,243.6,SP001,3.92
2026-05-29,13.770843792470288,22.65113105416218,8.35,34.96,1.04,Anchovy,140.2,SP001,4.0
2026-06-13,20.929569226297403,78.57755812734632,5.72,34.27,0.09,Sardine,271.2,SP003,7.03
2026-06-28,-20.988996480608026,114.02302414249576,23.88,37.15,0.33,Mackerel,78.9,SP004,9.95
2026-07-13,18.257307888948766,77.5474177875879,20.51,36.31,1.48,Tuna,311.9,SP002,6.96
2026-07-28,-10.577349382459744,58.816992620652194,22.6,31.21,0.17,Tuna,171.0,SP004,6.02
2026-08-12,10.584466447486356,84.32882184423532,10.32,32.49,1.21,Tuna,408.9,SP005,7.58
2026-08-27,10.682376860871578,65.82528904915166,8.41,31.99,0.49,Sardine,189.7,SP002,5.19
2026-09-11,2.86197472598068,74.56167893159349,5.36,35.95,0.78,Anchovy,254.8,SP003,1.54
2026-09-26,-32.77681839564734,114.14648087765252,13.76,30.27,0.58,Mackerel,55.2,SP003,6.06
2026-10-11,26.82419964713904,58.610263780077425,19.75,34.56,0.71,Sardine,82.6,SP002,9.62
2026-10-26,-14.337594802261133,116.11905638239142,14.81,36.1,1.44,Anchovy,226.6,SP001,2.58
2026-11-10,-25.07851916801166,110.53506419560637,15.94,37.01,0.59,Sardine,266.0,SP002,7.21
2026-11-25,-36.73798867561889,39.57911347892964,27.6,32.74,1.13,Mackerel,320.0,SP005,2.81
2026-12-10,7.271435455059347,26.936130087516545,13.71,36.57,0.95,Anchovy,181.2,SP001,5.82
2026-12-25,14.205148947382597,30.077800137742663,17.85,30.89,1.33,Sardine,362.7,SP003,1.87
2027-01-09,-38.67297368577151,21.82218256515497,24.59,36.77,1.87,Mackerel,437.1,SP002,5.05
2027-01-24,0.9674446639424801,29.44429607559284,14.91,31.02,1.47,Tuna,400.9,SP004,7.81
2027-02-08,-21.880337984164964,88.30067734163569,20.55,33.18,0.43,Mackerel,67.8,SP004,4.13
2027-02-23,11.61382323275599,27.1188648460229,26.56,36.38,0.06,Tuna,266.2,SP005,6.98
2027-03-10,-26.050685679600683,51.89756302937613,28.74,31.2,0.52,Sardine,97.2,SP004,8.16
2027-03-25,15.27501904819728,104.48753109694546,8.68,31.83,1.19,Anchovy,158.9,SP002,9.34
2027-04-09,-9.061172295957007,22.327193573582587,28.16,35.78,0.1,Anchovy,494.0,SP002,3.11
2027-04-24,34.93839909893876,101.44684825889358,17.3,35.76,0.99,Sardine,114.1,SP004,4.59
2027-05-09,-28.99832446832054,48.185477477339994,11.46,35.13,1.19,Anchovy,274.5,SP002,2.37
2027-05-24,-12.71469191597932,31.816482762165627,16.48,35.55,0.67,Anchovy,328.2,SP005,9.93
2027-06-08,-30.922118300752874,89.67371653641507,29.5,34.34,1.54,Tuna,366.1,SP001,9.34
2027-06-23,33.975489462285026,82.8942846779884,17.32,32.01,0.21,Sardine,301.8,SP005,5.86
2027-07-08,30.187148270478474,107.74720135270529,13.22,32.77,0.15,Mackerel,54.4,SP005,8.58
2027-07-23,-19.36466978278755,93.50710438038858,20.84,31.45,1.46,Tuna,196.9,SP002,5.69
2027-08-07,12.79872368273432,100.34809303848486,11.0,37.27,0.99,Sardine,283.0,SP001,6.61
2027-08-22,25.377776016097272,48.20345725713065,6.9,34.67,1.38,Tuna,89.5,SP002,1.8
2027-09-06,4.416064927956988,37.74395437797229,8.22,33.21,0.87,Mackerel,207.8,SP003,7.8
2027-09-21,2.372046268480517,95.06147516408583,8.2,33.7,0.49,Mackerel,64.9,SP002,2.15
2027-10-06,-20.651816727963865,100.6834739267264,8.8,37.58,1.64,Sardine,85.4,SP002,8.43
2027-10-21,-32.55177857552806,119.05051420006733,8.47,31.23,1.6,Mackerel,228.6,SP002,8.04
2027-11-05,31.777260636266135,61.26176769114265,21.02,34.69,1.39,Tuna,109.7,SP001,7.38
2027-11-20,32.03344457306643,57.201808579278314,9.55,34.05,0.54,Mackerel,305.4,SP002,1.33
2027-12-05,10.648116581861437,97.64129607419969,13.64,34.89,1.18,Tuna,360.3,SP001,3.73
2027-12-20,-12.877616716103944,54.08035402530179,27.42,30.14,0.72,Tuna,410.3,SP004,3.37
2028-01-04,-12.063234030987129,113.07573256035647,16.85,36.98,0.18,Mackerel,140.1,SP003,4.24
2028-01-19,18.07645430961915,105.84127518430118,21.69,37.46,1.83,Sardine,125.4,SP001,1.79
2028-02-03,31.76882079620617,62.89940273750184,9.31,34.52,0.27,Anchovy,97.1,SP004,9.43
2028-02-18,30.966913941209384,95.08710677914974,9.81,35.57,1.9,Mackerel,336.4,SP001,5.98
2028-03-04,22.390043668609906,95.45428740846823,6.02,37.38,0.89,Tuna,367.9,SP001,3.75
